#KEY	SRR11357510	SRR11357511	SRR11357512	SRR11357513	SRR11357514	SRR11357515	SRR11357516	SRR11357517
Geneid	SRR11357510	SRR11357511	SRR11357512	SRR11357513	SRR11357514	SRR11357515	SRR11357516	SRR11357517
gene:ECOLIN_06780	107	80	84	92	39	49	43	51
gene:ECOLIN_06785	365	335	292	209	260	336	214	180
gene:ECOLIN_06790	10121	11047	3371	3039	6416	11073	3966	3404
gene:ECOLIN_06795	9269	10511	2618	2458	6533	10429	3447	3166
gene:ECOLIN_06800	23110	23129	4966	5009	15917	21231	7366	6987
gene:ECOLIN_06805	41891	44157	12197	12276	28452	39509	15215	14588
gene:ECOLIN_06810	3000	3169	56	84	1319	2376	97	182
gene:ECOLIN_06825	62	73	29	33	38	46	8	11
gene:ECOLIN_06830	624	494	1912	1669	332	423	1078	982
gene:ECOLIN_06835	703	250	507	548	253	248	210	212
gene:ECOLIN_06840	36	12	157	147	4	6	51	63
gene:ECOLIN_06845	32	12	42	62	6	2	19	30
gene:ECOLIN_06850	8	4	7	12	6	0	2	4
gene:ECOLIN_06855	3	1	4	5	4	2	11	5
gene:ECOLIN_06860	62	53	274	198	48	46	104	113
gene:ECOLIN_06865	65	53	161	124	54	33	139	120
gene:ECOLIN_06870	7	7	8	12	0	5	3	5
gene:ECOLIN_06875	25	21	55	41	14	19	18	19
gene:ECOLIN_06880	33	42	60	37	24	54	33	36
gene:ECOLIN_06885	121	87	169	156	72	96	125	158
gene:ECOLIN_06890	131	165	14	17	58	111	21	5
gene:ECOLIN_06895	3	0	17	15	1	12	19	22
gene:ECOLIN_06900	1205	1100	127	77	976	1006	142	89
gene:ECOLIN_06905	4489	4572	351	335	4189	4110	409	449
gene:ECOLIN_06910	2064	2198	425	367	1638	1828	312	311
gene:ECOLIN_06915	236	215	123	139	122	153	69	109
gene:ECOLIN_06920	629	721	635	573	621	794	1694	1491
gene:ECOLIN_06925	755	742	194	165	551	698	216	190
gene:ECOLIN_06930	900	927	249	272	1024	936	379	309
gene:ECOLIN_06935	324	279	321	280	291	329	259	281
gene:ECOLIN_06940	8	15	21	30	11	25	20	19
gene:ECOLIN_06945	62	70	155	149	67	68	105	113
gene:ECOLIN_06950	145	171	389	315	131	140	315	230
gene:ECOLIN_06955	602	529	159	105	510	472	128	101
gene:ECOLIN_06960	2347	2049	240	225	1658	1593	330	218
gene:ECOLIN_06965	1059	952	357	350	977	1047	368	323
gene:ECOLIN_06970	269	399	4965	4487	549	529	5509	5175
gene:ECOLIN_06975	2245	1117	1477	1402	619	671	944	919
gene:ECOLIN_06980	1256	782	679	649	571	505	397	377
gene:ECOLIN_06985	1418	1240	643	568	988	1066	571	464
gene:ECOLIN_06990	406	471	294	322	331	439	331	304
gene:ECOLIN_06995	366	303	162	129	249	227	96	104
gene:ECOLIN_07000	1043	610	133	110	328	277	93	104
gene:ECOLIN_07005	82	92	835	866	73	105	633	594
gene:ECOLIN_07010	5389	5806	474	518	4493	4874	465	415
gene:ECOLIN_07015	990	1042	64	64	882	892	61	71
gene:ECOLIN_07020	1284	1258	54	60	1259	1233	83	91
gene:ECOLIN_07025	586	600	69	65	545	681	101	96
gene:ECOLIN_07030	452	405	65	70	355	505	109	104
gene:ECOLIN_07035	1389	1775	490	413	1835	2021	478	415
gene:ECOLIN_07040	303	282	1049	855	377	465	698	615
gene:ECOLIN_07050	299	248	664	607	263	327	407	346
gene:ECOLIN_07055	59	102	51	52	72	76	44	31
gene:ECOLIN_07060	82	85	88	93	98	110	54	49
gene:ECOLIN_07065	210	232	142	114	243	221	115	115
gene:ECOLIN_07070	2387	1735	941	962	1659	1492	816	809
gene:ECOLIN_07075	523	413	100	103	407	394	135	124
gene:ECOLIN_07080	298	321	4813	4602	422	480	3958	3371
gene:ECOLIN_07085	1014	785	875	803	730	723	597	485
gene:ECOLIN_07090	10224	7547	521	408	9967	8560	857	755
gene:ECOLIN_07095	2667	2263	517	390	2297	2457	983	741
gene:ECOLIN_07100	764	680	310	235	667	631	298	281
gene:ECOLIN_07105	3090	2623	1485	1319	2459	2237	1278	1015
gene:ECOLIN_07110	1631	1072	306	251	1023	1043	182	187
gene:ECOLIN_07115	795	460	95	121	516	406	81	63
gene:ECOLIN_07120	276	283	166	147	208	197	153	115
gene:ECOLIN_07125	1493	1344	1357	1326	997	1166	1273	1234
gene:ECOLIN_07130	2872	3362	1908	1940	3513	3438	2019	1943
gene:ECOLIN_07140	876	725	342	261	588	571	222	256
gene:ECOLIN_07145	400	541	1119	1271	431	548	1191	1076
gene:ECOLIN_07150	596	692	1893	1881	582	811	1974	1860
gene:ECOLIN_07155	729	788	568	427	629	744	493	444
gene:ECOLIN_07160	192	180	181	164	120	209	112	95
gene:ECOLIN_07165	408	386	314	279	466	506	342	355
gene:ECOLIN_07170	605	583	527	483	559	627	612	487
gene:ECOLIN_07175	25	97	178	132	76	71	97	93
gene:ECOLIN_07180	111	223	558	481	294	319	889	900
gene:ECOLIN_07185	90	123	292	284	119	147	481	369
gene:ECOLIN_07190	48	46	119	117	80	65	205	171
gene:ECOLIN_07195	85	73	153	175	135	161	287	275
gene:ECOLIN_07200	171	130	121	105	162	140	91	85
gene:ECOLIN_07205	217	202	218	161	160	217	128	118
gene:ECOLIN_07210	54	62	22	26	37	42	9	18
gene:ECOLIN_07215	137	109	207	153	117	149	48	47
gene:ECOLIN_07220	31	23	246	192	7	9	75	58
gene:ECOLIN_07225	69	95	251	228	80	88	149	116
gene:ECOLIN_07230	182	259	360	364	179	202	249	233
gene:ECOLIN_07235	111	55	25	16	56	50	22	10
gene:ECOLIN_07240	139	110	42	35	126	114	41	31
gene:ECOLIN_07245	2744	2549	621	571	2429	2393	494	468
gene:ECOLIN_07250	686	664	260	233	573	650	193	194
gene:ECOLIN_07255	797	759	930	839	719	921	984	880
gene:ECOLIN_07260	776	724	1479	1491	654	822	1863	1835
gene:ECOLIN_07265	2320	2478	1365	1302	2138	2306	1676	1538
gene:ECOLIN_07270	17713	17407	21641	19699	16033	17618	21914	19756
gene:ECOLIN_07275	563	490	106	118	474	475	127	143
gene:ECOLIN_07285	20968	67982	22640	22029	120386	118825	24403	22772
gene:ECOLIN_07290	405	430	229	300	404	473	174	207
gene:ECOLIN_07295	14746	15903	1133	1029	14676	15300	1393	1473
gene:ECOLIN_07300	2172	2052	393	431	1478	1791	421	336
gene:ECOLIN_07305	1628	1455	162	193	1182	1410	200	130
gene:ECOLIN_07310	2195	1837	305	317	1906	2048	303	233
gene:ECOLIN_07315	2197	2200	412	377	2166	2184	317	254
gene:ECOLIN_07320	545	523	373	318	469	499	321	316
gene:ECOLIN_07325	1161	1421	742	579	1325	1357	1056	916
gene:ECOLIN_07330	1120	1174	912	881	1313	1377	1114	1176
gene:ECOLIN_07335	2873	3246	318	268	3499	4337	381	398
gene:ECOLIN_07340	4493	3687	879	887	4637	4486	1269	1155
gene:ECOLIN_07345	437	382	180	177	354	388	177	171
gene:ECOLIN_07350	571	496	724	805	475	536	767	669
gene:ECOLIN_07355	619	561	648	614	475	549	513	556
gene:ECOLIN_07360	338	574	156	119	539	1286	223	135
gene:ECOLIN_07365	119	208	222	190	118	250	123	67
gene:ECOLIN_07370	8	18	29	22	25	33	15	12
gene:ECOLIN_07375	2634	3149	201	150	1929	1941	161	152
gene:ECOLIN_07380	3503	5643	243	246	2520	2701	221	197
gene:ECOLIN_07385	2703	4031	140	150	1601	2439	166	125
gene:ECOLIN_07390	2474	5496	102	93	2319	2576	76	89
gene:ECOLIN_07395	2023	6847	196	199	3512	3111	80	86
gene:ECOLIN_07400	604	561	580	510	620	664	409	330
gene:ECOLIN_07405	698	561	877	734	608	566	702	626
gene:ECOLIN_07410	531	408	678	639	432	394	470	399
gene:ECOLIN_07415	984	594	320	377	673	562	288	234
gene:ECOLIN_07420	480	468	335	335	529	514	346	241
gene:ECOLIN_07425	542	726	1054	1059	561	619	748	650
gene:ECOLIN_07430	1217	1196	1469	1293	945	1092	1123	1042
gene:ECOLIN_07435	4	1	13	13	2	2	10	7
gene:ECOLIN_07440	89	82	104	101	103	96	93	101
gene:ECOLIN_07445	6305	4123	1656	1684	4165	3797	2368	2259
gene:ECOLIN_07450	2240	2453	834	855	2090	2164	912	932
gene:ECOLIN_07470	743	458	1116	1142	486	447	1372	1196
gene:ECOLIN_07475	807	888	956	809	821	902	805	668
gene:ECOLIN_07480	534	500	1063	861	441	549	1018	896
gene:ECOLIN_07485	718	810	6432	6324	575	711	3109	2873
gene:ECOLIN_07490	1320	1180	7144	6107	1033	1144	4161	3541
gene:ECOLIN_07495	395	227	184	166	277	321	97	90
gene:ECOLIN_07500	143	66	47	62	71	67	20	28
gene:ECOLIN_07505	381	418	3450	3746	493	553	2594	2669
gene:ECOLIN_07510	2719	2570	410	448	2185	2254	382	331
gene:ECOLIN_07520	397	285	1248	1255	326	346	1449	1292
gene:ECOLIN_07525	9638	8054	844	843	7835	6882	1133	1078
gene:ECOLIN_07530	4754	5028	211	180	4381	4053	632	602
gene:ECOLIN_07535	5915	5370	1722	1697	5323	5159	2200	1934
gene:ECOLIN_07540	206	145	178	168	152	211	89	78
gene:ECOLIN_07545	74	62	50	54	57	46	52	19
gene:ECOLIN_07550	132	141	213	255	113	153	229	186
gene:ECOLIN_07555	127	94	125	86	87	101	119	97
gene:ECOLIN_07560	184	220	285	237	172	187	272	259
gene:ECOLIN_07565	291	370	375	280	348	274	347	328
gene:ECOLIN_07570	638	524	633	581	651	503	560	549
gene:ECOLIN_07575	285	253	332	272	306	262	360	390
gene:ECOLIN_07580	328	278	584	569	330	304	510	446
gene:ECOLIN_07585	855	797	1094	989	964	920	1118	945
gene:ECOLIN_07590	357	358	118	129	368	447	143	108
gene:ECOLIN_07595	390	508	1517	1480	426	379	1353	1175
gene:ECOLIN_07600	521	541	637	500	476	438	526	507
gene:ECOLIN_07605	51	70	109	119	76	57	138	102
gene:ECOLIN_07610	130	119	174	174	108	108	163	128
gene:ECOLIN_07615	39	61	94	84	54	55	83	87
gene:ECOLIN_07620	372	444	173	173	547	598	275	238
gene:ECOLIN_07625	4	14	4	2	8	15	0	0
gene:ECOLIN_07630	24	26	22	22	9	14	23	14
gene:ECOLIN_07635	5	10	30	17	5	5	22	7
gene:ECOLIN_07640	9	7	23	15	12	7	11	5
gene:ECOLIN_07645	31	8	8	14	8	27	14	2
gene:ECOLIN_07650	22	9	26	20	16	19	13	14
gene:ECOLIN_07655	33	20	19	15	9	24	29	18
gene:ECOLIN_07660	69	41	78	115	27	55	50	52
gene:ECOLIN_07665	15	4	8	6	4	2	9	4
gene:ECOLIN_07670	12	14	22	21	4	16	4	6
gene:ECOLIN_07675	28	40	40	45	17	20	38	17
gene:ECOLIN_07680	328	254	96	110	236	248	72	66
gene:ECOLIN_07685	389	394	5530	4699	331	278	7417	6370
gene:ECOLIN_07690	392	290	1825	1769	167	172	2682	2462
gene:ECOLIN_07695	1348	1307	1675	1378	1236	1277	1549	1351
gene:ECOLIN_07700	8195	7251	2130	2088	7423	7056	2598	2274
gene:ECOLIN_07705	359	360	404	415	410	434	435	454
gene:ECOLIN_07715	319	335	468	360	276	367	276	280
gene:ECOLIN_07720	239	281	316	322	319	407	258	225
gene:ECOLIN_07725	231	213	251	243	187	242	195	150
gene:ECOLIN_07730	814	638	588	625	785	728	571	623
gene:ECOLIN_07735	392	428	616	713	311	435	388	431
gene:ECOLIN_07740	1399	738	1199	1039	549	651	863	732
gene:ECOLIN_07745	2362	2898	6217	5641	3017	2956	5664	5226
gene:ECOLIN_07750	4968	3923	4277	3598	3369	3467	3607	3260
gene:ECOLIN_07755	304	346	317	290	308	351	287	301
gene:ECOLIN_07760	29	14	11	13	19	20	14	10
gene:ECOLIN_07765	215	164	141	100	81	121	62	70
gene:ECOLIN_07770	0	1	10	6	4	5	4	2
gene:ECOLIN_07775	15	13	52	36	17	18	43	23
gene:ECOLIN_07780	217	162	582	483	194	207	422	389
gene:ECOLIN_07785	557	554	2754	2593	854	849	1554	1471
gene:ECOLIN_07790	309	339	734	692	258	316	564	529
gene:ECOLIN_07795	286	222	78	78	216	220	197	194
gene:ECOLIN_07800	190	88	77	44	153	99	70	56
gene:ECOLIN_07805	3	0	2	0	1	0	0	1
gene:ECOLIN_07815	89	54	95	84	43	62	40	46
gene:ECOLIN_07820	346	539	3860	3687	514	515	2476	2391
gene:ECOLIN_07825	97	104	205	176	69	85	89	107
gene:ECOLIN_07830	543	618	1309	1230	642	617	1484	1390
gene:ECOLIN_07835	233	220	421	367	197	295	299	299
gene:ECOLIN_07840	524	396	942	791	376	441	549	504
gene:ECOLIN_07845	1091	1093	7861	5873	796	2040	4094	3067
gene:ECOLIN_07850	1041	908	2536	2292	764	805	980	900
gene:ECOLIN_07855	77	67	28	28	32	48	17	23
gene:ECOLIN_07860	90	133	47	40	37	82	22	20
gene:ECOLIN_07875	43	60	89	59	95	69	65	40
gene:ECOLIN_07880	31	22	40	43	19	31	15	23
gene:ECOLIN_07885	28	16	11	13	2	16	5	9
gene:ECOLIN_07890	113	111	109	103	121	181	99	59
gene:ECOLIN_07895	153	134	130	115	82	110	77	67
gene:ECOLIN_07900	445	500	568	565	529	454	310	275
gene:ECOLIN_07905	2048	2021	1232	1239	1553	1570	1283	1181
gene:ECOLIN_07910	162	187	193	214	263	203	147	181
gene:ECOLIN_07915	166	146	235	195	83	101	112	125
gene:ECOLIN_07920	196	259	3796	3796	574	631	6821	6096
gene:ECOLIN_07930	918	715	217	212	561	744	189	161
gene:ECOLIN_07940	152	125	154	131	116	141	146	127
gene:ECOLIN_07945	947	187	190	124	99	165	129	133
gene:ECOLIN_07950	312	95	217	204	97	76	162	133
gene:ECOLIN_07955	2169	1877	365	313	1851	1764	333	348
gene:ECOLIN_07960	354	419	221	178	362	743	256	198
gene:ECOLIN_07965	259	258	280	256	238	317	174	202
gene:ECOLIN_07970	91	117	491	396	137	176	358	346
gene:ECOLIN_07975	242	231	297	323	160	195	237	202
gene:ECOLIN_07980	628	700	228	242	394	546	174	148
gene:ECOLIN_07985	735	740	628	691	657	691	449	516
gene:ECOLIN_07990	104	109	272	216	102	118	253	173
gene:ECOLIN_07995	106	87	120	108	123	91	61	71
gene:ECOLIN_08000	1196	522	217	179	624	582	149	125
gene:ECOLIN_08010	22	19	22	17	13	17	7	12
gene:ECOLIN_08015	549	319	214	155	267	319	145	150
gene:ECOLIN_08020	80	80	121	136	94	104	206	178
gene:ECOLIN_08025	42	32	39	58	34	27	51	43
gene:ECOLIN_08030	25	36	152	155	51	30	84	73
gene:ECOLIN_08040	100	136	268	236	109	171	156	183
gene:ECOLIN_08045	82	95	144	127	80	95	63	78
gene:ECOLIN_08050	388	340	700	551	267	375	754	573
gene:ECOLIN_08055	219	312	252	259	370	349	254	199
gene:ECOLIN_08060	530	702	469	450	823	840	436	419
gene:ECOLIN_08065	69	39	44	41	39	52	55	69
gene:ECOLIN_08075	25486	24898	3732	3525	23741	22102	3705	3448
gene:ECOLIN_08080	255	222	237	194	229	203	159	158
gene:ECOLIN_08090	19	7	7	12	0	6	8	6
gene:ECOLIN_08095	92	102	65	74	51	78	63	56
gene:ECOLIN_08110	412	387	341	284	316	373	269	244
gene:ECOLIN_08115	26	31	45	50	22	24	23	32
gene:ECOLIN_08120	25	24	34	13	13	44	6	9
gene:ECOLIN_08125	24	12	17	17	16	20	8	11
gene:ECOLIN_08130	29	26	5	23	4	21	7	10
gene:ECOLIN_08135	4	7	2	4	0	3	1	4
gene:ECOLIN_08145	4	18	11	6	16	3	8	1
gene:ECOLIN_08150	37	39	109	102	41	61	133	108
gene:ECOLIN_08155	335	353	481	463	260	400	412	382
gene:ECOLIN_08160	490	434	292	240	584	543	272	241
gene:ECOLIN_08165	99	109	178	147	91	104	177	132
gene:ECOLIN_08170	19	43	98	91	38	58	113	98
gene:ECOLIN_08175	87	110	265	242	163	120	360	270
gene:ECOLIN_08180	169	154	452	356	229	234	620	572
gene:ECOLIN_08185	24	17	122	168	35	56	167	181
gene:ECOLIN_08190	125	110	104	120	125	185	66	77
gene:ECOLIN_08195	26	34	28	15	111	97	16	14
gene:ECOLIN_08200	71	75	48	22	140	157	25	35
gene:ECOLIN_08205	48	23	36	31	43	48	15	8
gene:ECOLIN_08210	167	112	162	152	131	129	175	112
gene:ECOLIN_08215	125	123	538	519	142	117	269	287
gene:ECOLIN_08220	149	161	203	188	148	152	139	158
gene:ECOLIN_08225	969	811	1418	1378	1016	1036	2573	2184
gene:ECOLIN_08230	4706	4673	4377	4110	3864	3778	5231	4525
gene:ECOLIN_08235	774	958	3143	2323	769	1324	4887	3768
gene:ECOLIN_08240	58	31	31	26	25	13	25	26
gene:ECOLIN_08245	395	500	785	830	590	551	1914	1604
gene:ECOLIN_08255	372	387	681	666	417	440	726	707
gene:ECOLIN_08260	432	315	230	248	307	365	383	295
gene:ECOLIN_08265	665	754	28611	30700	1036	1338	47690	46509
gene:ECOLIN_08270	921	945	61121	61014	1820	1785	109090	102840
gene:ECOLIN_08280	1047	1041	761	621	968	890	566	529
gene:ECOLIN_08285	1509	1380	326	347	1228	1292	202	203
gene:ECOLIN_08290	664	547	101	75	468	565	52	49
gene:ECOLIN_08295	37	39	49	26	25	31	16	16
gene:ECOLIN_08300	111	162	173	179	80	100	119	107
gene:ECOLIN_08305	21	18	23	7	1	15	13	3
gene:ECOLIN_08310	6	0	0	0	0	0	0	0
gene:ECOLIN_08315	295	195	441	368	139	199	288	233
gene:ECOLIN_08320	18	21	30	35	24	27	15	15
gene:ECOLIN_08325	24	18	22	10	10	26	5	7
gene:ECOLIN_08330	42	13	46	41	16	8	7	22
gene:ECOLIN_08335	119	95	210	222	47	74	92	61
gene:ECOLIN_08340	39	48	99	83	16	34	42	28
gene:ECOLIN_08345	98	118	15	17	58	79	8	12
gene:ECOLIN_08355	100	57	132	110	66	71	106	72
gene:ECOLIN_08360	324	363	290	273	260	299	166	199
gene:ECOLIN_08365	124	192	260	211	128	169	177	118
gene:ECOLIN_08370	27	49	67	75	38	34	38	28
gene:ECOLIN_08375	231	132	279	339	149	137	374	312
gene:ECOLIN_08380	795	514	243	195	545	567	228	190
gene:ECOLIN_08385	82	67	365	402	118	121	177	199
gene:ECOLIN_08390	458	437	855	651	408	491	717	717
gene:ECOLIN_08395	137	91	55	42	102	91	46	56
gene:ECOLIN_08400	410	345	59	60	333	293	78	25
gene:ECOLIN_08405	166	158	153	140	156	177	98	70
gene:ECOLIN_08410	243	136	226	208	145	173	145	126
gene:ECOLIN_08415	1156	788	2140	1838	693	708	1410	1234
gene:ECOLIN_08420	205	189	244	285	250	241	328	287
gene:ECOLIN_08425	67	50	68	80	78	81	76	66
gene:ECOLIN_08430	77	84	215	214	66	73	159	190
gene:ECOLIN_08435	48	31	92	92	29	40	70	85
gene:ECOLIN_08440	212	162	294	277	117	183	177	144
gene:ECOLIN_08445	26	5	19	13	6	13	12	4
gene:ECOLIN_08450	1	0	2	5	0	1	1	2
gene:ECOLIN_08455	20	10	5	17	4	7	5	6
gene:ECOLIN_08460	16	2	16	12	1	0	4	0
gene:ECOLIN_08465	155	63	43	24	41	88	17	33
gene:ECOLIN_08470	504	218	124	88	145	217	97	120
gene:ECOLIN_08475	325	375	102	93	275	345	150	125
gene:ECOLIN_08480	122	73	1521	883	51	102	504	361
gene:ECOLIN_08485	61	42	62	58	45	105	41	31
gene:ECOLIN_08490	462	319	205	191	258	345	141	133
gene:ECOLIN_08500	974	1007	370	360	905	933	511	458
gene:ECOLIN_08505	1804	1833	1887	1734	2262	2481	1783	1555
gene:ECOLIN_08510	1258	1071	709	630	1088	1155	779	664
gene:ECOLIN_08515	473	693	1421	1167	571	929	1430	1169
gene:ECOLIN_08520	324	326	456	404	333	299	310	336
gene:ECOLIN_08525	48	63	106	96	37	66	46	60
gene:ECOLIN_08530	85	77	62	72	110	102	22	14
gene:ECOLIN_08535	82	106	108	86	107	73	61	46
gene:ECOLIN_08540	48	66	57	55	79	88	44	36
gene:ECOLIN_08545	1526	1505	2454	2390	1329	1467	2298	1880
gene:ECOLIN_08550	1172	1259	1510	1513	975	1096	1396	1414
gene:ECOLIN_08555	398	445	461	421	372	417	358	329
gene:ECOLIN_08560	61	92	378	325	121	179	400	384
gene:ECOLIN_08565	154	202	254	234	204	240	161	143
gene:ECOLIN_08570	152	161	291	261	183	164	185	144
gene:ECOLIN_08575	51	38	55	52	21	32	60	50
gene:ECOLIN_08580	237	218	304	242	179	232	179	217
gene:ECOLIN_08585	448	374	145	135	377	345	124	125
gene:ECOLIN_08590	85	68	110	133	88	119	76	60
gene:ECOLIN_08595	218	773	676	641	1108	1258	521	493
gene:ECOLIN_08600	952	1087	2950	2771	982	1059	1526	1385
gene:ECOLIN_08605	110	157	63	41	87	111	45	41
gene:ECOLIN_08610	289	841	229	226	1061	1372	278	211
gene:ECOLIN_08615	45	53	377	302	35	69	222	204
gene:ECOLIN_08625	295	499	1273	1175	431	416	1357	1308
gene:ECOLIN_08630	69	23	67	55	33	22	44	63
gene:ECOLIN_08635	138	56	19	20	37	44	14	1
gene:ECOLIN_08640	142	138	97	95	112	158	78	73
gene:ECOLIN_08645	8669	8547	1069	1011	4670	5271	1168	1084
gene:ECOLIN_08650	11627	11743	1404	1395	6711	7519	1477	1385
gene:ECOLIN_08655	2032	2392	321	284	1776	3124	523	519
gene:ECOLIN_08660	454	222	194	155	286	296	139	133
gene:ECOLIN_08665	472	324	206	195	330	332	222	167
gene:ECOLIN_08670	269	135	119	117	143	142	107	109
gene:ECOLIN_08675	874	819	373	283	956	1047	802	647
gene:ECOLIN_08680	1074	851	273	275	1249	1105	674	628
gene:ECOLIN_08685	171	173	88	117	181	199	135	112
gene:ECOLIN_08690	302	144	228	235	226	154	229	237
gene:ECOLIN_08695	844	356	511	459	275	324	468	390
gene:ECOLIN_08700	974	1228	145	180	1165	1081	229	227
gene:ECOLIN_08705	3168	3717	2635	2570	3141	3118	4489	4115
gene:ECOLIN_08710	58	53	193	175	28	49	126	159
gene:ECOLIN_08715	11	18	50	50	15	8	25	24
gene:ECOLIN_08720	22	38	102	68	51	28	72	51
gene:ECOLIN_08725	607	650	1149	1088	459	572	1027	908
gene:ECOLIN_08730	257	279	969	1099	327	307	1455	1445
gene:ECOLIN_08735	124	158	385	342	152	245	200	211
gene:ECOLIN_08740	209	261	272	257	218	238	192	155
gene:ECOLIN_08745	343	365	271	209	374	346	413	361
gene:ECOLIN_08750	552	604	356	235	333	300	289	305
gene:ECOLIN_08755	1212	1112	379	395	1151	1297	417	431
gene:ECOLIN_08760	293	380	380	475	178	256	249	280
gene:ECOLIN_08765	628	534	554	494	482	526	425	376
gene:ECOLIN_08770	413	251	61	63	340	252	67	59
gene:ECOLIN_08775	445	244	64	59	272	250	69	72
gene:ECOLIN_08780	1663	882	220	194	1066	1029	190	203
gene:ECOLIN_08785	447	314	41	74	324	317	78	58
gene:ECOLIN_08790	230	218	49	67	219	262	59	45
gene:ECOLIN_08795	215	292	96	62	238	217	84	62
gene:ECOLIN_08800	218	335	249	263	223	221	150	147
gene:ECOLIN_08805	15	21	52	69	13	34	41	47
gene:ECOLIN_08810	4588	3611	937	943	3768	3835	1588	1418
gene:ECOLIN_08815	1494	1457	2891	2896	1369	1263	2553	2602
gene:ECOLIN_08820	1320	1108	412	319	993	1199	356	310
gene:ECOLIN_08825	5000	4466	701	687	3524	4087	754	703
gene:ECOLIN_08830	1448	1442	722	718	1310	1398	658	545
gene:ECOLIN_08835	90	110	69	63	105	112	50	34
gene:ECOLIN_08840	670	665	238	242	734	682	279	249
gene:ECOLIN_08845	3304	3428	4839	4406	3357	3665	5403	4935
gene:ECOLIN_08850	2894	3604	3064	2861	2828	3125	3030	2851
gene:ECOLIN_08855	70	68	146	143	46	61	110	103
gene:ECOLIN_08860	79	50	88	57	68	73	22	26
gene:ECOLIN_08865	146	162	371	308	164	192	281	284
gene:ECOLIN_08870	127	159	867	886	248	201	1101	918
gene:ECOLIN_08875	306	317	585	587	422	535	597	583
gene:ECOLIN_08880	34	19	96	69	31	36	72	51
gene:ECOLIN_08885	162	128	318	322	106	133	275	228
gene:ECOLIN_08890	754	657	482	471	854	823	582	591
gene:ECOLIN_08895	881	1143	220	236	1061	1213	261	268
gene:ECOLIN_08900	681	386	126	102	454	411	98	90
gene:ECOLIN_08905	1646	1411	2486	2258	2045	1778	2393	2169
gene:ECOLIN_08910	710	743	195	161	574	755	224	149
gene:ECOLIN_08915	507	481	946	827	248	424	582	530
gene:ECOLIN_08920	319	191	119	109	128	166	123	77
gene:ECOLIN_08930	2552	1605	178	171	1778	1767	190	149
gene:ECOLIN_08935	385	285	207	217	243	271	202	193
gene:ECOLIN_08940	79	80	136	148	105	84	111	105
gene:ECOLIN_08945	4533	5757	9842	10651	6411	6866	9864	9751
gene:ECOLIN_08950	1882	2434	1011	948	2183	2382	1115	943
gene:ECOLIN_08955	461	405	432	362	264	350	408	357
gene:ECOLIN_08960	19	24	33	68	20	15	49	51
gene:ECOLIN_08965	1	0	0	1	0	0	0	0
gene:ECOLIN_08970	0	0	0	0	0	0	0	0
gene:ECOLIN_08975	6	3	0	4	1	3	4	3
gene:ECOLIN_08980	8	2	3	4	3	5	9	12
gene:ECOLIN_08985	0	0	0	0	0	0	0	0
gene:ECOLIN_08990	0	0	0	0	0	0	0	0
gene:ECOLIN_08995	0	0	0	1	0	0	0	0
gene:ECOLIN_09000	2	0	5	3	0	1	1	2
gene:ECOLIN_09005	1	0	0	0	0	0	0	0
gene:ECOLIN_09010	9	12	20	4	10	21	6	3
gene:ECOLIN_09015	244	283	591	502	159	210	433	472
gene:ECOLIN_09020	162	179	498	561	249	247	828	822
gene:ECOLIN_09025	53	84	105	81	69	59	75	75
gene:ECOLIN_09030	42	34	60	53	30	31	69	54
gene:ECOLIN_09035	44	37	37	56	40	45	42	25
gene:ECOLIN_09040	40	53	70	78	30	34	60	54
gene:ECOLIN_09045	61	78	127	158	50	66	85	83
gene:ECOLIN_09050	11	0	1	11	16	7	3	2
gene:ECOLIN_09055	97	83	139	129	32	59	128	81
gene:ECOLIN_09060	10174	13012	2524	2706	13522	13225	4261	3886
gene:ECOLIN_09065	37385	32873	184968	127470	33481	45396	92794	78865
gene:ECOLIN_09070	538	570	5052	5140	590	532	5660	5204
gene:ECOLIN_09075	296	375	400	433	270	345	482	456
gene:ECOLIN_09080	1019	1128	1563	1542	987	1011	1797	1669
gene:ECOLIN_09085	1251	1234	1654	1598	1067	1134	1851	1684
gene:ECOLIN_09090	653	671	842	847	558	577	1177	1051
gene:ECOLIN_09095	961	937	1927	1888	806	890	2273	2063
gene:ECOLIN_09100	279	244	887	781	273	282	812	743
gene:ECOLIN_09105	1642	1780	2150	1941	1753	2151	2590	2335
gene:ECOLIN_09110	917	1011	289	262	847	917	388	337
gene:ECOLIN_09115	6209	6095	924	820	5769	5733	1106	1088
gene:ECOLIN_09120	598	523	426	385	591	499	535	456
gene:ECOLIN_09125	12	14	26	25	26	32	22	27
gene:ECOLIN_09130	20	30	66	63	20	26	77	43
gene:ECOLIN_09135	33	19	33	31	16	11	22	15
gene:ECOLIN_09140	85	121	61	42	124	117	43	36
gene:ECOLIN_09145	633	775	157	161	892	789	219	179
gene:ECOLIN_09150	158	141	73	75	113	119	31	32
gene:ECOLIN_09155	108	134	99	74	125	126	86	83
gene:ECOLIN_09160	180	240	162	170	150	209	140	163
gene:ECOLIN_09170	43	50	80	82	46	46	43	43
gene:ECOLIN_09175	24	29	36	38	24	29	27	32
gene:ECOLIN_09180	39	38	172	129	42	36	59	62
gene:ECOLIN_09185	2	12	16	10	3	6	9	6
gene:ECOLIN_09190	89	117	193	174	74	103	117	127
gene:ECOLIN_09195	7354	3989	2325	2173	4261	4017	2568	2271
