"adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Platform_ORF","GO.Function","GO.Process","GO.Component","Chromosome.annotation"
0.998974957609354,0.258003955589084,1.26929871600825,-5.10047367953374,0.172193582934788,"yqiJ///Z4402///yqiJ///ECs3932","hypothetical protein///oxidoreductase///DUF1449 family inner membrane protein///oxidoreductase","b3050","","cellular response to DNA damage stimulus","plasma membrane","NC_004431.1 (3631437..3632066)///NC_002655.2 (3999052..3999666)///NC_000913.3 (3192208..3192837)///NC_002695.1 (3931737..3932351)"
0.998974957609354,0.258189539319487,-1.26873577315546,-5.10105822626656,-0.194043100567978,"nagB///nagB///nagB///nagB","glucosamine-6-phosphate deaminase///glucosamine-6-phosphate deaminase///glucosamine-6-phosphate deaminase///glucosamine-6-phosphate deaminase","b0678","glucosamine-6-phosphate deaminase activity///glucosamine-6-phosphate deaminase activity///identical protein binding///identical protein binding","glucosamine catabolic process///N-acetylglucosamine catabolic process///N-acetylglucosamine catabolic process///UDP-N-acetylglucosamine biosynthetic process///UDP-N-acetylglucosamine biosynthetic process///N-acetylneuraminate catabolic process///N-acetylneuraminate catabolic process","cytoplasm///cytosol///cytosol","NC_004431.1 (735545..736345, complement)///NC_002655.2 (782615..783415, complement)///NC_000913.3 (702811..703611, complement)///NC_002695.1 (782834..783634, complement)"
0.998974957609354,0.258668530259083,-1.2672845093582,-5.10256460956039,-0.312175149221035,"tauB///tauB///tauB///tauB","taurine transporter ATP-binding subunit///taurine transporter ATP-binding subunit///taurine ABC transporter ATPase///taurine transporter ATP-binding protein","b0366","taurine transmembrane transporter activity///ATP binding","cellular response to sulfur starvation///taurine transport","ATP-binding cassette (ABC) transporter complex","NC_004431.1 (461499..462266)///NC_002655.2 (447211..447978)///NC_000913.3 (386207..386974)///NC_002695.1 (447209..447976)"
0.998974957609354,0.258910377945182,-1.26655267368808,-5.10332392572011,-0.803056625461406,"cmtA","PTS system, mannitol (Cryptic)-specific IIBC component","c3515","","phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system","plasma membrane///plasma membrane///integral component of plasma membrane","NC_004431.1 (3371356..3372744, complement)"
0.998974957609354,0.259408480274593,-1.26504735159535,-5.10488510764076,-0.972112042575628,"dxs","1-deoxy-D-xylulose-5-phosphate synthase","c0531","1-deoxy-D-xylulose-5-phosphate synthase activity///1-deoxy-D-xylulose-5-phosphate synthase activity///thiamine pyrophosphate binding","ubiquinone biosynthetic process///isoprenoid biosynthetic process///pyridoxine biosynthetic process///thiamine biosynthetic process///isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway///isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway","cytosol///cytosol","NC_004431.1 (512243..514105, complement)"
0.998974957609354,0.259894399994328,1.26358136151934,-5.10640463582281,0.184826046600342,"grxB///grxB///grxB///ECs1442","glutaredoxin 2///glutaredoxin///glutaredoxin 2 (Grx2)///glutaredoxin","b1064","glutathione disulfide oxidoreductase activity","","cytosol","NC_004431.1 (1266907..1267554, complement)///NC_002655.2 (1567637..1568284, complement)///NC_000913.3 (1123407..1124054, complement)///NC_002695.1 (1482551..1483198, complement)"
0.998974957609354,0.260002947911797,1.26325421745058,-5.10674361089405,0.208156340997711,"frvB///frvB///ECs4825","PTS system transporter subunits IIBC///putative PTS enzyme, IIB component/IIC component///PTS system transporter subunits IIBC","b3899","","phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system","plasma membrane///plasma membrane///membrane","NC_002655.2 (4958315..4959760, complement)///NC_000913.3 (4090915..4092366, complement)///NC_002695.1 (4889551..4890990, complement)"
0.998974957609354,0.260097467581982,-1.26296945247282,-5.10703863965823,-0.664086267367887,"frwC","fructose-like permease EIIC subunit 2","Z5505","","phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system","plasma membrane///plasma membrane///integral component of plasma membrane","NC_002655.2 (5018178..5019257)"
0.998974957609354,0.260101184152056,1.262958257253,-5.10705023772935,0.221478506437316,"lhgO","L-2-hydroxyglutarate oxidase","b2660","(S)-2-hydroxy-acid oxidase activity///protein binding///L-2-hydroxyglutarate oxidase activity///2-hydroxyglutarate dehydrogenase activity///flavin adenine dinucleotide binding","","cytoplasm///cytoplasm///plasma membrane","NC_000913.3 (2789982..2791250)"
0.998974957609354,0.261211024919556,-1.25962158809692,-5.11050475094187,-0.345560018117927,"ymdB///Z1679///ymdB///ECs1423","hypothetical protein///hypothetical protein///O-acetyl-ADP-ribose deacetylase; RNase III inhibitor during cold shock; putative cardiolipin synthase C regulatory subunit///hypothetical protein","b1045","enzyme binding///endoribonuclease inhibitor activity///O-acetyl-ADP-ribose deacetylase activity","negative regulation of endoribonuclease activity///regulation of single-species biofilm formation on inanimate substrate","","NC_004431.1 (1249320..1249853)///NC_002655.2 (1550048..1550581)///NC_000913.3 (1105820..1106353)///NC_002695.1 (1464962..1465495)"
0.998974957609354,0.261262974928156,-1.25946571719783,-5.1106660182973,-0.187763381229226,"waaB","lipopolysaccharide 1,6-galactosyltransferase; UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase","b3628","lipopolysaccharide-1,6-galactosyltransferase activity","lipopolysaccharide core region biosynthetic process","cytosol","NC_000913.3 (3803058..3804137, complement)"
0.998974957609354,0.261453657992045,-1.25889383094521,-5.11125762080703,-0.785394001764558,"glnG","nitrogen regulation protein NR(I)","c4817","protein binding","","cytosol","NC_004431.1 (4579364..4580773, complement)"
0.998974957609354,0.263298717128004,-1.25337956816866,-5.11695525931879,-0.389168026905034,"rhaS///ECs4832","transcriptional activator RhaS///transcriptional activator RhaS","Z5449","DNA-binding transcription factor activity","regulation of transcription, DNA-templated","","NC_002655.2 (4966460..4967296)///NC_002695.1 (4897696..4898532)"
0.998974957609354,0.263438331498778,-1.25296372583854,-5.11738443382117,-0.206326112487947,"livM///livM","leucine/isoleucine/valine transporter permease subunit///branched-chain amino acid ABC transporter permease","b3456","L-valine transmembrane transporter activity///L-isoleucine transmembrane transporter activity///L-leucine transmembrane transporter activity///L-phenylalanine transmembrane transporter activity///branched-chain amino acid transmembrane transporter activity///branched-chain amino acid transmembrane transporter activity","branched-chain amino acid transport///branched-chain amino acid transport///phenylalanine transport///leucine import across plasma membrane///isoleucine transmembrane transport///L-valine transmembrane transport","plasma membrane///plasma membrane///integral component of plasma membrane///ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","NC_004431.1 (4032696..4033973, complement)///NC_000913.3 (3594203..3595480, complement)"
0.998974957609354,0.263529835438309,-1.25269128837949,-5.11766556790613,-1.55655672212729,"ybjT///ECs0955","dTDP-glucose enzyme///dTDP-glucose enzyme","Z1103","","","plasma membrane","NC_002655.2 (1039624..1041054, complement)///NC_002695.1 (1037964..1039394, complement)"
0.998974957609354,0.264291862735768,1.25042578271856,-5.12000222811309,0.320128419864577,"lldP///lldP///ECs4481","L-lactate permease///L-lactate permease///L-lactate permease","b3603","lactate transmembrane transporter activity///lactate transmembrane transporter activity///solute:proton symporter activity///solute:proton symporter activity///glycolate transmembrane transporter activity","cellular response to DNA damage stimulus///lactate transmembrane transport","plasma membrane///plasma membrane///integral component of plasma membrane///integral component of plasma membrane","NC_002655.2 (4593225..4594880)///NC_000913.3 (3777399..3779054)///NC_002695.1 (4524243..4525898)"
0.998974957609354,0.264606578153259,-1.24949184900401,-5.12096488856489,-1.00081988058664,"yhhY///ECs4290","acetyltransferase YhhY///acetyltransferase YhhY","Z4809","N-acetyltransferase activity","","","NC_002655.2 (4367627..4368103)///NC_002695.1 (4300393..4300881)"
0.998974957609354,0.265074458679505,1.24810523518991,-5.12239349869465,0.249154337225622,"kdpA","potassium translocating ATPase, subunit A","b0698","protein binding///potassium transmembrane transporter activity, phosphorylative mechanism///potassium transmembrane transporter activity, phosphorylative mechanism","potassium ion transmembrane transport///potassium ion transmembrane transport///potassium ion transmembrane transport///cation transmembrane transport","plasma membrane///plasma membrane///integral component of plasma membrane///potassium ion-transporting ATPase complex","NC_000913.3 (727059..728732, complement)"
0.998974957609354,0.265906591528779,1.24564454805111,-5.12492678214244,0.197251746028712,"caiD///caiD///caiD///ECs0039","carnitinyl-CoA dehydratase///carnitinyl-CoA dehydratase///carnitinyl-CoA dehydratase///carnitinyl-CoA dehydratase","b0036","enoyl-CoA hydratase activity///carnitine racemase activity///hydro-lyase activity///isomerase activity","fatty acid beta-oxidation///carnitine catabolic process","","NC_004431.1 (38036..38821, complement)///NC_002655.2 (39784..40569, complement)///NC_000913.3 (35377..36162, complement)///NC_002695.1 (39783..40568, complement)"
0.998974957609354,0.266149893141535,-1.24492639190921,-5.12566565893934,-0.529910472866625,"hemY","protoheme IX biogenesis protein","c4721","","","integral component of plasma membrane","NC_004431.1 (4486850..4488046, complement)"
0.998974957609354,0.266329502635059,-1.24439661475218,-5.12621058608901,-1.10182768212506,"aldB","aldehyde dehydrogenase","c4408","aldehyde dehydrogenase (NAD+) activity///oxidoreductase activity","cellular response to DNA damage stimulus///response to ethanol","","NC_004431.1 (4189304..4190932, complement)"
0.998974957609354,0.266488478342222,-1.24392796673479,-5.12669254004172,-0.412381816302041,"modF///ECs0788","molybdenum transport ATP-binding protein ModF///molybdenum transport ATP-binding protein ModF","Z0930","ATP binding///ATP binding///ATPase-coupled transmembrane transporter activity","","ATP-binding cassette (ABC) transporter complex","NC_002655.2 (877837..879309, complement)///NC_002695.1 (876189..877661, complement)"
0.998974957609354,0.267533341757239,-1.24085402119763,-5.1298515233175,-1.00099990567695,"evgS///ECs3249","hybrid sensory histidine kinase in two-component regulatory system with EvgA///EvgA family transcriptional regulator","Z3632","phosphorelay sensor kinase activity///phosphorelay sensor kinase activity///histidine phosphotransfer kinase activity","phosphorelay signal transduction system///response to metal ion///response to acidic pH///response to acidic pH///protein autophosphorylation","integral component of membrane","NC_002655.2 (3282470..3286063)///NC_002695.1 (3212511..3216104)"
0.998974957609354,0.268848596301463,-1.23699986900331,-5.13380678575845,-1.60105383130829,"murQ///murQ","N-acetylmuramic acid 6-phosphate etherase///N-acetylmuramic acid 6-phosphate etherase","Z3693","protein binding///ether hydrolase activity///ether hydrolase activity///carbon-oxygen lyase activity///carbon-oxygen lyase activity","peptidoglycan turnover///peptidoglycan turnover///amino sugar catabolic process///amino sugar catabolic process","","NC_002655.2 (3338892..3339788)///NC_002695.1 (3269058..3269954)"
0.998974957609354,0.268969723885842,1.236645773555,-5.1341698617718,0.227847597788724,"ydgA///ydgA///ydgA///ECs2320","hypothetical protein///hypothetical protein///DUF945 family protein///hypothetical protein","b1614","identical protein binding","movement of cell or subcellular component","","NC_004431.1 (1850547..1852055)///NC_002655.2 (2364940..2366448)///NC_000913.3 (1689852..1691360)///NC_002695.1 (2289653..2291161)"
0.998974957609354,0.269144915441726,1.23613388413281,-5.13469464161781,0.220389435925416,"recE///recE///ECs1934","exonuclease VIII///Rac prophage; exonuclease VIII, 5' to 3' specific dsDNA exonuclease///exonuclease VIII","b1350","identical protein binding///double-stranded DNA 5'-3' exodeoxyribonuclease activity","","","NC_002655.2 (2160309..2162909)///NC_000913.3 (1414786..1417386, complement)///NC_002695.1 (1924257..1926857, complement)"
0.998974957609354,0.269445468253017,1.2352563984524,-5.13559397061041,0.183428941543257,"yqgB///yqgB///yqgB///ECs3815","hypothetical protein///hypothetical protein///uncharacterized protein///hypothetical protein","b2939","","response to acidic pH","","NC_004431.1 (3381863..3382009, complement)///NC_002655.2 (3894714..3894860, complement)///NC_000913.3 (3085920..3086051, complement)///NC_002695.1 (3827406..3827552, complement)"
0.998974957609354,0.269454774153632,-1.23522924319581,-5.13562179673119,-0.541045918324992,"cyaY///cyaY///cyaY///cyaY","frataxin-like protein///frataxin-like protein///iron-dependent inhibitor of iron-sulfur cluster formation; frataxin; iron-binding and oxidizing protein///frataxin-like protein","b3807","protein binding///ferrous iron binding///ferrous iron binding///ferric iron binding///ferric iron binding","iron-sulfur cluster assembly///iron-sulfur cluster assembly///iron-sulfur cluster assembly","cytoplasm///cytosol///cytosol","NC_004431.1 (4493939..4494259, complement)///NC_002655.2 (4856160..4856480, complement)///NC_000913.3 (3993739..3994059, complement)///NC_002695.1 (4787397..4787717, complement)"
0.998974957609354,0.270214194424824,-1.23301602783,-5.13788865513501,-0.998108689506721,"gatD","galactitol-1-phosphate dehydrogenase","c2616","zinc ion binding///galactitol-1-phosphate 5-dehydrogenase activity///identical protein binding","galactitol catabolic process","cytosol","NC_004431.1 (2461877..2462917, complement)"
0.998974957609354,0.270888888814835,1.23105439782571,-5.13989611868219,0.281574760346649,"rcsA///rcsA///rcsA///ECs2690","colanic acid capsular biosynthesis activation protein A///positive regulator for ctr capsule biosynthesis, positive transcription factor///transcriptional regulator of colanic acid capsular biosynthesis///transcriptional regulator for ctr capsule biosynthesis","b1951","","transcription, DNA-templated///transcription, DNA-templated///transcription, DNA-templated","","NC_004431.1 (2175737..2176360)///NC_002655.2 (2723727..2724350)///NC_000913.3 (2023968..2024591)///NC_002695.1 (2648514..2649137)"
0.998974957609354,0.270974539433707,-1.23080568692581,-5.14015052553742,-0.222594967430775,"lexA///lexA///lexA///ECs5026","LexA repressor///LexA repressor///transcriptional repressor of SOS regulon///LexA repressor","b4043","transcription regulatory region sequence-specific DNA binding///transcription regulatory region sequence-specific DNA binding///DNA-binding transcription repressor activity///DNA-binding transcription repressor activity///DNA binding///protein binding///identical protein binding","transcription, DNA-templated///transcription, DNA-templated///cellular response to DNA damage stimulus///SOS response///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated","cytosol///protein-DNA complex///protein-DNA complex","NC_004431.1 (4789145..4789753)///NC_002655.2 (5140283..5140891)///NC_000913.3 (4257115..4257723)///NC_002695.1 (5110297..5110905)"
0.998974957609354,0.271679912927688,1.22876010343024,-5.14224197115409,0.176783878648557,"carB///carB///carB","carbamoyl phosphate synthase large subunit///carbamoyl-phosphate synthase large subunit///carbamoyl phosphate synthase large subunit","b0033","nucleotide binding///nucleotide binding///carbamoyl-phosphate synthase (ammonia) activity///carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity///carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity///carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity///protein binding///ATP binding///ATP binding///amino acid binding///metal ion binding","glutamine metabolic process///nitrogen compound metabolic process///cellular amino acid biosynthetic process///pyrimidine nucleobase biosynthetic process","cytoplasm///cytosol///carbamoyl-phosphate synthase complex","NC_002655.2 (35192..38413)///NC_000913.3 (30817..34038)///NC_002695.1 (35191..38412)"
0.998974957609354,0.271845714042623,1.22827996925061,-5.14273261489619,1.51623941765192,"acpS///acpS","4'-phosphopantetheinyl transferase///4'-phosphopantetheinyl transferase","Z3844","holo-[acyl-carrier-protein] synthase activity///transferase activity","fatty acid biosynthetic process///peptidyl-serine phosphopantetheinylation","","NC_002655.2 (3490841..3491221, complement)///NC_002695.1 (3421002..3421382, complement)"
0.998974957609354,0.271866684411152,1.22821926097559,-5.14279464508648,0.206055790629827,"ybgC///ybgC///ybgC///ECs0771","acyl-CoA thioester hydrolase///acyl-CoA thioester hydrolase///acyl-CoA thioester hydrolase///acyl-CoA thioester hydrolase YbgC","b0736","protein binding///thiolester hydrolase activity///acyl-CoA hydrolase activity","","","NC_004431.1 (797422..797826)///NC_002655.2 (860912..861316)///NC_000913.3 (774752..775156)///NC_002695.1 (859258..859662)"
0.998974957609354,0.272862626816594,-1.22534085826404,-5.14573393925391,-0.426613809892066,"ygbE","hypothetical protein","c3316","","","plasma membrane","NC_004431.1 (3156222..3156545, complement)"
0.998974957609354,0.273704806489759,1.22291415976739,-5.14820924857536,0.197811656647563,"sodA///sodA///sodA///ECs4834","superoxide dismutase///superoxide dismutase///superoxide dismutase, Mn///superoxide dismutase","b3908","DNA binding///superoxide dismutase activity///antioxidant activity///manganese ion binding///metal ion binding","superoxide metabolic process///response to oxidative stress///response to heat///response to acidic pH///removal of superoxide radicals///oxidation-reduction process///cellular response to selenium ion","cytoplasm///cytosol","NC_004431.1 (4620462..4621088)///NC_002655.2 (4969534..4970154)///NC_000913.3 (4100810..4101430)///NC_002695.1 (4900764..4901390)"
0.998974957609354,0.273991259346644,-1.22209027842977,-5.1490490648434,-0.224185723618779,"kgtP///kgtP///kgtP///ECs3454","alpha-ketoglutarate transporter///alpha-ketoglutarate transporter///alpha-ketoglutarate transporter///alpha-ketoglutarate transporter","b2587","solute:cation symporter activity","","plasma membrane///integral component of plasma membrane","NC_004431.1 (2987140..2988531, complement)///NC_002655.2 (3514484..3515782, complement)///NC_000913.3 (2724448..2725746, complement)///NC_002695.1 (3444647..3445945, complement)"
0.998974957609354,0.274526186453877,-1.22055380229159,-5.15061448614018,-0.250717210254157,"rpsN///rpsN///rpsN///rpsN","30S ribosomal protein S14///30S ribosomal protein S14///30S ribosomal subunit protein S14///30S ribosomal protein S14","b3307","structural constituent of ribosome///structural constituent of ribosome","ribosomal small subunit assembly","cytosolic small ribosomal subunit","NC_004431.1 (3877955..3878260, complement)///NC_002655.2 (4248813..4249118, complement)///NC_000913.3 (3446579..3446884, complement)///NC_002695.1 (4181591..4181896, complement)"
0.998974957609354,0.275165026074837,-1.2187223499956,-5.15247912403159,-0.230347558445835,"cysP///cysP","thiosulfate transporter subunit///thiosulfate-binding protein","b2425","thiosulfate binding///sulfate binding","sulfur compound metabolic process///sulfate transport///sulfate transport///thiosulfate transport///thiosulfate transport","outer membrane-bounded periplasmic space","NC_004431.1 (2822447..2823463, complement)///NC_000913.3 (2542512..2543528, complement)"
0.998974957609354,0.27554599686858,1.21763196928689,-5.15358858059421,0.338859826312905,"ybeZ///ybeZ///ybeZ///ECs0698","PhoH-like protein///ATP-binding protein in pho regulon///heat shock protein, putative NTPase; PhoH-like protein///ATP-binding protein in pho regulon","b0660","protein binding///ATP binding","","cytosol///cytosol","NC_004431.1 (725210..726289, complement)///NC_002655.2 (772280..773359, complement)///NC_000913.3 (692338..693378, complement)///NC_002695.1 (772499..773578, complement)"
0.998974957609354,0.276511263848042,1.21487526554644,-5.15639123581224,0.196056966786433,"ycgB///ycgB///ycgB///ECs1683","SpoVR family protein///SpoVR family protein///SpoVR family stationary phase protein///SpoVR family protein","b1188","","cellular response to DNA damage stimulus","","NC_004431.1 (1473136..1474668, complement)///NC_002655.2 (1768603..1770135, complement)///NC_000913.3 (1235709..1237241, complement)///NC_002695.1 (1677196..1678728, complement)"
0.998974957609354,0.277038511270147,-1.21337311520912,-5.15791704842078,-0.21711147612392,"ybaN///ybaN///ybaN///ECs0521","hypothetical protein///hypothetical protein///DUF454 family inner membrane protein///hypothetical protein","b0468","","","plasma membrane///plasma membrane","NC_004431.1 (565532..565909)///NC_002655.2 (556780..557157)///NC_000913.3 (490882..491259)///NC_002695.1 (556777..557154)"
0.998974957609354,0.277206342140105,-1.21289549142846,-5.15840199179248,-0.190466383703962,"tas///tas///tas///tas","aldo-keto reductase///aldo/keto reductase///putative NADP(H)-dependent aldo-keto reductase///aldo/keto reductase","b2834","aldo-keto reductase (NADP) activity///aldo-keto reductase (NADP) activity","cellular response to amino acid starvation","cytosol","NC_004431.1 (3278918..3279958)///NC_002655.2 (3761295..3762335)///NC_000913.3 (2971597..2972637)///NC_002695.1 (3693997..3695037)"
0.998974957609354,0.277912644701401,-1.21088826403641,-5.16043890125613,-0.204823327128771,"ybgP","putative periplasmic pilin chaperone","b0717","","protein folding","","NC_000913.3 (748979..749707, complement)"
0.998974957609354,0.280532017675899,-1.20348366119371,-5.16793784677994,-0.526380982323902,"frwD///frwD///frwD///ECs4882","fructose-like phosphotransferase EIIB subunit 3///fructose-like phosphotransferase EIIB subunit 3///putative enzyme IIB component of PTS///fructose-like phosphotransferase EIIB subunit 3","b3953","protein-phosphocysteine-D-fructose-phosphotransferase system transporter activity","phosphoenolpyruvate-dependent sugar phosphotransferase system///phosphoenolpyruvate-dependent sugar phosphotransferase system","","NC_004431.1 (4674151..4674492)///NC_002655.2 (5022786..5023127)///NC_000913.3 (4147138..4147479)///NC_002695.1 (4954020..4954361)"
0.998974957609354,0.280765064448466,1.20282784532797,-5.16860086276079,0.194929943329127,"yigZ///yigZ///yigZ///ECs4776","hypothetical protein///hypothetical protein///UPF0029 family protein///hypothetical protein","b3848","protein binding","","","NC_004431.1 (4558152..4558769)///NC_002655.2 (4897373..4897990)///NC_000913.3 (4032492..4033106)///NC_002695.1 (4828612..4829226)"
0.998974957609354,0.280988757017358,-1.20219880673896,-5.16923662995378,-0.219268530196109,"yidG///yidG///yidG///ECs4616","hypothetical protein///hypothetical protein///inner membrane protein///hypothetical protein","b3675","","","plasma membrane","NC_004431.1 (4361260..4361622, complement)///NC_002655.2 (4715066..4715428, complement)///NC_000913.3 (3855608..3855970, complement)///NC_002695.1 (4646083..4646445, complement)"
0.998974957609354,0.281034126915313,1.20207127766041,-5.16936550195695,0.250466912410971,"yfcC///yfcC///yfcC///ECs3182","hypothetical protein///hypothetical protein///putative inner membrane transporter; C4-dicarboxylate anaerobic carrier family protein///hypothetical protein","b2298","","","plasma membrane///plasma membrane","NC_004431.1 (2699584..2701104)///NC_002655.2 (3213207..3214727)///NC_000913.3 (2417081..2418601)///NC_002695.1 (3143252..3144772)"
0.998974957609354,0.28188328418033,-1.1996877622635,-5.17177279872934,-0.17000486372193,"lpxB///lpxB///lpxB///lpxB","lipid-A-disaccharide synthase///lipid-A-disaccharide synthase///tetraacyldisaccharide-1-P synthase///lipid-A-disaccharide synthase","b0182","protein binding///phospholipid binding///phospholipid binding///lipid-A-disaccharide synthase activity","lipid A biosynthetic process///lipid A biosynthetic process///lipid A biosynthetic process","cytoplasm///cytosol///cytosol///extrinsic component of plasma membrane","NC_004431.1 (213383..214531)///NC_002655.2 (206692..207840)///NC_000913.3 (203348..204496)///NC_002695.1 (206691..207839)"
0.998974957609354,0.281916669650935,-1.19959418194494,-5.17186726162702,-0.182993931058965,"cydC///cydC///cydC///ECs0971","cysteine/glutathione ABC transporter membrane/ATP-binding component///cysteine/glutathione ABC transporter membrane/ATP-binding protein///glutathione/cysteine ABC transporter export permease/ATPase///cysteine/glutathione ABC transporter membrane/ATP-binding protein","b0886","siderophore transmembrane transporter activity///ATPase activity///ATPase-coupled transmembrane transporter activity///ATPase-coupled transmembrane transporter activity","iron ion transport///cysteine export across plasma membrane///cysteine export across plasma membrane///glutathione transmembrane transport///regulation of heme biosynthetic process","plasma membrane///integral component of plasma membrane///integral component of plasma membrane///integral component of membrane///ATP-binding cassette (ABC) transporter complex","NC_004431.1 (981603..983324, complement)///NC_002655.2 (1147774..1149495, complement)///NC_000913.3 (927474..929195, complement)///NC_002695.1 (1058551..1060272, complement)"
0.998974957609354,0.281959868803322,-1.19947310818904,-5.171989471521,-0.176910794674992,"hybB///hybB///hybB///ECs3880","hydrogenase 2 b cytochrome subunit///hydrogenase 2 b cytochrome subunit///putative hydrogenase 2 cytochrome b type component///hydrogenase 2 b cytochrome subunit","b2995","hydrogenase (acceptor) activity///hydrogenase (acceptor) activity","anaerobic respiration///anaerobic respiration///anaerobic respiration","plasma membrane///plasma membrane///integral component of plasma membrane///integral component of membrane///[Ni-Fe] hydrogenase complex///[Ni-Fe] hydrogenase complex","NC_004431.1 (3564860..3566038, complement)///NC_002655.2 (3950653..3951831, complement)///NC_000913.3 (3142986..3144164, complement)///NC_002695.1 (3883340..3884518, complement)"
0.998974957609354,0.282206614165546,1.19878187248203,-5.17268706964025,0.252841639823611,"cspC///cspC///cspC///ECs2533","cold shock-like protein CspC///cold shock-like protein CspC///stress protein, member of the CspA-family///cold shock-like protein CspC","b1823","transcription antitermination factor activity, RNA binding///single-stranded DNA binding///RNA binding///chaperone binding","negative regulation of DNA-templated transcription, termination","cytosol///membrane","NC_004431.1 (2058898..2059107, complement)///NC_002655.2 (2584262..2584471, complement)///NC_000913.3 (1907226..1907435, complement)///NC_002695.1 (2509056..2509265, complement)"
0.998974957609354,0.28287805817402,-1.1969035849809,-5.17458157794161,-0.222187104054234,"yhdP///yhdP///Z4604///ECs4118","DUF3971-AsmA2 domains protein///hypothetical protein///hypothetical protein///hypothetical protein","b3245","","","integral component of plasma membrane///outer membrane-bounded periplasmic space","NC_000913.3 (3392458..3396258, complement)///NC_004431.1 (3815657..3819457, complement)///NC_002655.2 (4194636..4198436, complement)///NC_002695.1 (4127418..4131218, complement)"
0.998974957609354,0.283312316935111,-1.19569089519852,-5.17580390952546,-1.3127505723202,"arsR///ECs4373","ArsR family transcriptional regulator///ArsR family transcriptional regulator","Z4903","DNA binding","transcription, DNA-templated///regulation of transcription, DNA-templated///regulation of transcription, DNA-templated///response to arsenic-containing substance","","NC_002655.2 (4450069..4450422)///NC_002695.1 (4382844..4383197)"
0.998974957609354,0.284474860987725,-1.19245250103033,-5.179064845261,-1.33711525520197,"bcsA","cellulose synthase catalytic subunit","c4345","transferase activity, transferring hexosyl groups","bacterial cellulose biosynthetic process///bacterial cellulose biosynthetic process","plasma membrane///plasma membrane","NC_004431.1 (4131341..4133959, complement)"
0.998974957609354,0.284867437997693,-1.19136157521969,-5.18016231109728,-0.166127928816275,"cpxR///cpxR///cpxR///ECs4838","DNA-binding transcriptional regulator CpxR///DNA-binding transcriptional regulator CpxR///response regulator in two-component regulatory system with CpxA///CpxR family transcriptional regulator","b3912","phosphorelay response regulator activity///transcription regulatory region sequence-specific DNA binding///DNA-binding transcription activator activity///DNA-binding transcription factor activity///DNA-binding transcription factor activity///DNA-binding transcription factor activity///protein binding","regulation of cell-substrate adhesion///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated///positive regulation of transcription, DNA-templated","cytosol///cytosol///protein-DNA complex","NC_004431.1 (4624630..4625328, complement)///NC_002655.2 (4973696..4974394, complement)///NC_000913.3 (4104972..4105670, complement)///NC_002695.1 (4904932..4905630, complement)"
0.998974957609354,0.28537706829603,-1.18994735035528,-5.18158422138617,-0.476670467756211,"ilvN///ilvN///ilvN///ECs4611","acetolactate synthase 1 regulatory subunit///acetolactate synthase 1 regulatory subunit///acetolactate synthase 1 small subunit///acetolactate synthase 1 regulatory subunit","b3670","acetolactate synthase activity///acetolactate synthase activity///protein binding","isoleucine biosynthetic process///isoleucine biosynthetic process///valine biosynthetic process///valine biosynthetic process","cytosol///acetolactate synthase complex///acetolactate synthase complex","NC_004431.1 (4356987..4357277, complement)///NC_002655.2 (4710260..4710550, complement)///NC_000913.3 (3850802..3851092, complement)///NC_002695.1 (4641277..4641567, complement)"
0.998974957609354,0.285465647757688,-1.18970176964931,-5.1818310453268,-0.626876812509243,"ygcQ","electron transfer flavoprotein subunit ygcQ","c3328","oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor","","plasma membrane","NC_004431.1 (3168711..3169604, complement)"
0.998974957609354,0.285484473514936,-1.18964958514618,-5.18188349052501,-0.306202674598495,"maeB","malic enzyme: putative oxidoreductase/phosphotransacetylase","b2463","malate dehydrogenase (decarboxylating) (NADP+) activity///malate dehydrogenase (decarboxylating) (NADP+) activity///manganese ion binding","","cytosol","NC_000913.3 (2576098..2578377, complement)"
